Tarih,Başlık,Metin
"Mon, 01 Jan 2018 08:00:00 GMT",2017'nin en çok değer kazanan ve kaybeden hisseleri - Dünya Gazetesi,2017'nin en çok değer kazanan ve kaybeden hisseleri  Dünya Gazetesi
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul'un yeni başkanı Erişah Arıcan kimdir? - Sabah,Borsa İstanbul'un yeni başkanı Erişah Arıcan kimdir?  Sabah
"Fri, 08 Jun 2018 07:00:00 GMT",Borsa´dan İftar Yemeği - Kozan Haberleri,Borsa´dan İftar Yemeği  Kozan Haberleri
"Wed, 25 Apr 2018 07:00:00 GMT",Nev'i Değişikliği Durumunda Hisse Senetlerinin İlk İktisap Tarihi - verginet.net,Nev'i Değişikliği Durumunda Hisse Senetlerinin İlk İktisap Tarihi  verginet.net
"Tue, 18 Dec 2018 08:00:00 GMT","Yurt Dışındaki Hisse Senedi Alım-Satım Kazançlarının ve Kar Paylarının Türkiye’de Vergilendirilmemesi İçin Kaçırılmayacak Fırsatlar – Emrah AYGÜL, YMM - alomaliye.com","Yurt Dışındaki Hisse Senedi Alım-Satım Kazançlarının ve Kar Paylarının Türkiye’de Vergilendirilmemesi İçin Kaçırılmayacak Fırsatlar – Emrah AYGÜL, YMM  alomaliye.com"
"Fri, 28 Dec 2018 08:00:00 GMT",Şangay Hisse Senedi Borsası verileri TradingView’de - TradingView — Track All Markets,Şangay Hisse Senedi Borsası verileri TradingView’de  TradingView — Track All Markets
"Wed, 04 Apr 2018 07:00:00 GMT","Spotify halka açıldı, ilgi beklenenden yüksek çıktı - BBC","Spotify halka açıldı, ilgi beklenenden yüksek çıktı  BBC"
"Tue, 20 Nov 2018 08:00:00 GMT",Goldman`dan hisse yatırımcılarına `nakdi artır` tavsiyesi - Uzmanpara,Goldman`dan hisse yatırımcılarına `nakdi artır` tavsiyesi  Uzmanpara
"Tue, 20 Nov 2018 08:00:00 GMT","Hisse senetleri, altın ve kripto piyasası.. Bugün yer gök kırmızı! Yazar KoinMedya - Investing.com Türkiye","Hisse senetleri, altın ve kripto piyasası.. Bugün yer gök kırmızı! Yazar KoinMedya  Investing.com Türkiye"
"Fri, 14 Sep 2018 07:00:00 GMT",İşte en çok kazandıran 3 fon - Bigpara,İşte en çok kazandıran 3 fon  Bigpara
